contract_id,language,template_family,agreement_type,document_title,canonical_path,canonical_sha256,actual_pages,pdf_path,pdf_sha256,used_by_scenario_ids,scenario_roles
CTR-EN-0011,EN,T1,DIRECT_LICENSE,“Signal of Winter” Audiovisual Content Licence Agreement,documents/canonical/EN/T1/CTR-EN-0011.md,04d8808b1a78add5d6ab90f24b0bdcf7bb7dcf8052d3acae707d0871ddd536a0,5,documents/pdf/EN/T1/DIRECT_LICENSE/CTR-EN-0011.pdf,97a2f5aad91914d64e16af533cb4b8c61cdec477d0de7b7fbbc1404a6f02289f,['EN-C02'],['TARGET']
CTR-EN-0012,EN,T1,DIRECT_LICENSE,“Final Orbit” Audiovisual Content Licence Agreement,documents/canonical/EN/T1/CTR-EN-0012.md,d40eb8bfd07ddad3e8e4bbb21e06a45da58d3debb021c82b2203122455145652,5,documents/pdf/EN/T1/DIRECT_LICENSE/CTR-EN-0012.pdf,abc42d491d4108f902dc6f53b6a47152be00da95727a3abadd57ea11f0f1eabb,['EN-C05'],['TARGET']
CTR-EN-0013,EN,T1,DIRECT_LICENSE,“Final Stage” Audiovisual Content Licence Agreement,documents/canonical/EN/T1/CTR-EN-0013.md,ea1827bd9d5107e4faf73775256d7a5da02a1be55b716851f002b11a7a58b4e6,5,documents/pdf/EN/T1/DIRECT_LICENSE/CTR-EN-0013.pdf,8234a803f2bd9e399ae230059de5800ca5ab0be9f84a8251b72bb2c535cc4a02,['EN-C06'],['TARGET']
CTR-EN-0014,EN,T1,DIRECT_LICENSE,“Silent City” Audiovisual Content Licence Agreement,documents/canonical/EN/T1/CTR-EN-0014.md,5a8b9cb742b6b81a9048601573cde08a1e6416a22c6ebdd13f9e48e2367e6280,5,documents/pdf/EN/T1/DIRECT_LICENSE/CTR-EN-0014.pdf,55f0f169638c18cb058be80a7de11301c5a408af2486870c38eaac2d79879527,['EN-C07'],['TARGET']
CTR-EN-0015,EN,T5,DIRECT_LICENSE,“Final Stage” Content Distribution Agreement,documents/canonical/EN/T5/CTR-EN-0015.md,fdd7cf8c37a0067007082099e4a0255da71dad32eda0023a21c5ab388f6c76c4,8,documents/pdf/EN/T5/DIRECT_LICENSE/CTR-EN-0015.pdf,089e781d9a4bfa1d4b0a44157cfe3cc64c78db125ed94627e182428a85900afb,['EN-C03'],['TARGET']
CTR-EN-0016,EN,T5,SUBLICENSE,“Beyond the Black Tide” Content Distribution and Sublicence Agreement,documents/canonical/EN/T5/CTR-EN-0016.md,651f4fa399d8863fec1ea92a33510dcff89b024a51c12df1d41aae86cd2821b2,8,documents/pdf/EN/T5/SUBLICENSE/CTR-EN-0016.pdf,9e995b1f85b24d9ae7d4000372e316889f26fa20d71972a72572e1b51c331fac,['EN-C08'],['TARGET']
CTR-EN-0017,EN,T1,SUBLICENSE,“The Name Remembered by Rain” Content Sublicence Agreement,documents/canonical/EN/T1/CTR-EN-0017.md,db62c26bca0cf474c1513b3ad812b4c102ee03da9e3b32010ede984937e08fa1,5,documents/pdf/EN/T1/SUBLICENSE/CTR-EN-0017.pdf,59f50b49fff5e4f62074772234a01b6fb76cac1b5986ca821594733314a5c7ab,['EN-C09'],['TARGET']
CTR-EN-0018,EN,T5,DIRECT_LICENSE,“Midnight Platform” Content Distribution Agreement,documents/canonical/EN/T5/CTR-EN-0018.md,4b07e5523175fb132a70073ec65db4120e0d8399cdfc1dee592456ae28a3aeed,10,documents/pdf/EN/T5/DIRECT_LICENSE/CTR-EN-0018.pdf,8f656e022f2b234ea28f1bbbbb0ee7bb78d06d7071b96e449914ec6ed5b2408c,['EN-C10'],['TARGET']
CTR-EN-0019,EN,T1,DIRECT_LICENSE,“Signal of Winter” Audiovisual Content Licence Agreement,documents/canonical/EN/T1/CTR-EN-0019.md,66ef37652fb898ae7b425827343000e8eb12c163cc187aa9a594d31b4a2dadf5,4,documents/pdf/EN/T1/DIRECT_LICENSE/CTR-EN-0019.pdf,e2fa8bc02c9749742a2a06166d09fb1d5a986a292ec68f191bba9bc5d3ae7a01,['EN-R01'],['TARGET']
CTR-EN-0020,EN,T5,SUBLICENSE,“The Uninvited Season” Content Distribution and Sublicence Agreement,documents/canonical/EN/T5/CTR-EN-0020.md,0b9551b5727e71e6e6e1027263166beda2077220e25c15856098cb7a236de6c7,7,documents/pdf/EN/T5/SUBLICENSE/CTR-EN-0020.pdf,bd3dbda21bc15e0775026eec3d03806c8a542b81796840384fd7f348f5d7dc36,['EN-R02'],['TARGET']
CTR-EN-0021,EN,T1,DIRECT_LICENSE,“Final Stage” Audiovisual Content Licence Agreement,documents/canonical/EN/T1/CTR-EN-0021.md,b4af745099d15343d5b50e9509b67df0022114bb88c64c40fb3a59fb2b8295ef,5,documents/pdf/EN/T1/DIRECT_LICENSE/CTR-EN-0021.pdf,2389bba8c48c64960f4b0d99af36d0fcf86948d74d803c624badd4fc86b7c515,['RB-EN01'],['TARGET']
CTR-EN-0022,EN,T1,DIRECT_LICENSE,“Final Stage” Audiovisual Content Licence Agreement,documents/canonical/EN/T1/CTR-EN-0022.md,7fc4abb88d18ae7b046fc4b4e9d048f25a16a095c7af75d52a6fc3c7020af10d,5,documents/pdf/EN/T1/DIRECT_LICENSE/CTR-EN-0022.pdf,fb1dbe33fd8dcd56b2776ff08207c8fee9287cbb043f3ef474eaa9ecb825d69a,['RB-EN02'],['TARGET']
CTR-EN-0023,EN,T5,SUBLICENSE,“The Uninvited Season” Content Distribution and Sublicence Agreement,documents/canonical/EN/T5/CTR-EN-0023.md,395bea456edd76eec3c53824a62e4e5fc27ea5edb1e57de08f24195a909b241a,8,documents/pdf/EN/T5/SUBLICENSE/CTR-EN-0023.pdf,25e84a0d8932a99518d3d83582d83b48541451af40e76473317809e76a5ec42e,['RB-EN03'],['TARGET']
CTR-EN-0024,EN,T1,DIRECT_LICENSE,“Silent City” Audiovisual Content Licence Agreement,documents/canonical/EN/T1/CTR-EN-0024.md,48f8f4a3a392015f9890ab292a5446af063ccb3a3879f70644c469d208597105,5,documents/pdf/EN/T1/DIRECT_LICENSE/CTR-EN-0024.pdf,0ed72ff2618129aceae8cb98e42161b6b9e54b94a94434f0850ffc551e40aa2a,['RB-EN04'],['TARGET']
CTR-EN-9001,EN,T1,DIRECT_LICENSE,“Blue Harbor” Audiovisual Content Licence Agreement,documents/canonical/EN/T1/CTR-EN-9001.md,42d7dc38b49603915476ccbd89b9942e9b4aa7dc978002257e767df0957f9bb3,4,documents/pdf/EN/T1/DIRECT_LICENSE/CTR-EN-9001.pdf,b24be55fae337184b3fe9e89c6d61fb9734d91bc7031af9eff2139af00a625a6,['EN-N05'],['EXISTING']
CTR-EN-9002,EN,T1,DIRECT_LICENSE,“Beyond the Black Tide” Audiovisual Content Licence Agreement,documents/canonical/EN/T1/CTR-EN-9002.md,7a715c6b4906899df17111d3c6273b7c16594c8e9a5eba82271b3987d4be912b,4,documents/pdf/EN/T1/DIRECT_LICENSE/CTR-EN-9002.pdf,64410ca16dd329b4c3868c9337735d726fc1f92478beaf11d58fb6cbf5bd6c24,['EN-C08'],['UPSTREAM']
CTR-EN-9003,EN,T1,DIRECT_LICENSE,“The Name Remembered by Rain” Audiovisual Content Licence Agreement,documents/canonical/EN/T1/CTR-EN-9003.md,2aaf7d8f9db85244497be218af73eb15dca911636e96028417c33b8868805a52,4,documents/pdf/EN/T1/DIRECT_LICENSE/CTR-EN-9003.pdf,4be26ff33564882c2118949ba1052668316eaa256bb8f7806cc4810ce0506e79,['EN-C09'],['UPSTREAM']
CTR-EN-9004,EN,T5,DIRECT_LICENSE,“Midnight Platform” Content Distribution Agreement,documents/canonical/EN/T5/CTR-EN-9004.md,07ce627b33488454da50aaf78dbc342b3ee71047d278cc0dc99255022aeb9b4b,7,documents/pdf/EN/T5/DIRECT_LICENSE/CTR-EN-9004.pdf,f371d05938e5c67131cb0b1cbe70cebd4c2abecb45aabd6d0eacc0821b0458be,['EN-C10'],['EXISTING']
CTR-EN-9005,EN,T5,DIRECT_LICENSE,“The Uninvited Season” Content Distribution Agreement,documents/canonical/EN/T5/CTR-EN-9005.md,02cd38d4218b83fb8112a51ff91eedc27ef7cb2069d4ac4f447dd728d8c25fdb,7,documents/pdf/EN/T5/DIRECT_LICENSE/CTR-EN-9005.pdf,a883998e9073fe42c7bc5995ec56341bf07ffcfee8a039a7817664dd5a0b56bf,"['EN-R02', 'RB-EN03']",['UPSTREAM']
CTR-JP-0001,JP,T1,DIRECT_LICENSE,『最後の軌道』 映像コンテンツ利用許諾契約書,documents/canonical/JP/T1/CTR-JP-0001.md,2f6cd1502900c2a4b970a13d272e2122377bfbd8e41ad9fb41a9e974a9ce6d0d,3,documents/pdf/JP/T1/DIRECT_LICENSE/CTR-JP-0001.pdf,5e5bffb06aaf3acf12d090d648e20ea6dba530e79185bee80c915e1310c5c02c,"['JP-N01', 'JP-C03', 'RB-KO02']","['EXISTING', 'TARGET']"
CTR-JP-0002,JP,T2,DIRECT_LICENSE,『月の手紙』 放送番組放映権・配信権購入契約書,documents/canonical/JP/T2/CTR-JP-0002.md,d9507948b1de27438ebb128a50cb0c036f08cad22b412c54a6b92ab93f8b42a9,4,documents/pdf/JP/T2/DIRECT_LICENSE/CTR-JP-0002.pdf,7b4915a9401c8e5df416141d89cc2db76cabe4447081a62c4ef7f39ea7a1c2d2,"['JP-N02', 'JP-B01', 'JP-C01']","['EXISTING', 'TARGET']"
CTR-JP-0003,JP,T3,DIRECT_LICENSE,『静かな都市』 コンテンツ単一利用権許諾契約書,documents/canonical/JP/T3/CTR-JP-0003.md,95da173fb4b4e916a2979b8042e04345bb6ecb710f163eff1f50b41435aec85f,4,documents/pdf/JP/T3/DIRECT_LICENSE/CTR-JP-0003.pdf,442e1ba61f013fa8befdcfe75d92adf8a4466659db8d0dce322bec17fac001fa,"['JP-N03', 'EN-B02', 'EN-C04', 'EN-C07', 'JP-R01', 'RB-EN04']","['EXISTING', 'TARGET']"
CTR-JP-0004,JP,T1,DIRECT_LICENSE,『最後の舞台』 映像コンテンツ利用許諾契約書,documents/canonical/JP/T1/CTR-JP-0004.md,c6718c4c7406d51a27a6f57152d51df5922946ec9091b24874b2a22ad19f9570,4,documents/pdf/JP/T1/DIRECT_LICENSE/CTR-JP-0004.pdf,49fa4b6131695b227e517d101e65d30b7ebb8d258d7124e1335dd8dd5088b3b7,"['JP-N04', 'JP-B02', 'JP-C06', 'EN-C03', 'RB-EN01']","['EXISTING', 'TARGET']"
CTR-JP-0005,JP,T1,SUBLICENSE,『月の手紙』 コンテンツ再許諾契約書,documents/canonical/JP/T1/CTR-JP-0005.md,940f2ca9b2a8f4ce68f686f137962dcaf276f68bca3eac20ef5f06eacff553a0,4,documents/pdf/JP/T1/SUBLICENSE/CTR-JP-0005.pdf,a642eb33f217a432663b3af84071a0d0fe9dca2d83ef688a8bc83a23e5aa8c0b,['JP-N05'],['TARGET']
CTR-JP-0006,JP,T1,DIRECT_LICENSE,『最後の舞台』 映像コンテンツ利用許諾契約書,documents/canonical/JP/T1/CTR-JP-0006.md,a0043ded47fe04f1d3fc25bf823e5ce4311ec726c9eea44317e6bb87dd238f7a,3,documents/pdf/JP/T1/DIRECT_LICENSE/CTR-JP-0006.pdf,968738d5987b41bfb84dd0a4a4ddfa58ae3cabde97bb3c22e4c97ca34a7a86a1,['JP-B01'],['TARGET']
CTR-JP-0007,JP,T1,DIRECT_LICENSE,『最後の舞台』 映像コンテンツ利用許諾契約書,documents/canonical/JP/T1/CTR-JP-0007.md,9e67043f0d812093c10389174f02c4c99f05eea7839e08fbfba0d145e0564bf0,4,documents/pdf/JP/T1/DIRECT_LICENSE/CTR-JP-0007.pdf,bb79625989aeef94b9d1451f07e86d46598708a5336fef2b05f65e7cbec03204,['JP-B02'],['TARGET']
CTR-JP-0008,JP,T1,DIRECT_LICENSE,『月の手紙』 映像コンテンツ利用許諾契約書,documents/canonical/JP/T1/CTR-JP-0008.md,e3230ecfe860b06961101304c2a15e8fd6a74d907852282c579828d3860e7731,3,documents/pdf/JP/T1/DIRECT_LICENSE/CTR-JP-0008.pdf,e87c089f81223f5667bd51a7e7533acf7068fdf685818f68e0a0c247d5251414,['JP-B03'],['TARGET']
CTR-JP-0009,JP,T3,DIRECT_LICENSE,『月の手紙』 コンテンツ単一利用権許諾契約書,documents/canonical/JP/T3/CTR-JP-0009.md,6a6907644a7cf232222cd25dc42dcbd36ffc5ebd792213f021d3dcf278b453d4,4,documents/pdf/JP/T3/DIRECT_LICENSE/CTR-JP-0009.pdf,992bb713186d8f60f94cc4060f5f403e8815cfb11c6d87108b3595bdf4038c98,['JP-C01'],['TARGET']
CTR-JP-0010,JP,T1,DIRECT_LICENSE,『青い港』 映像コンテンツ利用許諾契約書,documents/canonical/JP/T1/CTR-JP-0010.md,f3cf364516e2bdaf8693ffe13bf052122a2515fb1ed947a39129be079d19817a,4,documents/pdf/JP/T1/DIRECT_LICENSE/CTR-JP-0010.pdf,b0306f697946e24fd3a4b6963e464b842922e68840062ddbe3237e5be1d67aba,['JP-C04'],['TARGET']
CTR-JP-0011,JP,T1,DIRECT_LICENSE,『冬のシグナル』 映像コンテンツ利用許諾契約書,documents/canonical/JP/T1/CTR-JP-0011.md,550719bbbe0bdf2e175edd97e3ff19e1702e87fa175a5e1be4e8b89fd11050cd,4,documents/pdf/JP/T1/DIRECT_LICENSE/CTR-JP-0011.pdf,2c7edefa357a1a90fce582727a048f8a1dfd8b8869435d93a1aded89751281c8,['JP-C02'],['TARGET']
CTR-JP-0012,JP,T2,DIRECT_LICENSE,『冬のシグナル』 放送番組放映権・配信権購入契約書,documents/canonical/JP/T2/CTR-JP-0012.md,25632ab5d9250334bcf8c15d38c16d2719915612873c552c52301316f87c5b63,4,documents/pdf/JP/T2/DIRECT_LICENSE/CTR-JP-0012.pdf,14f11fc59601519fd89a5367d1060f71dca0053fdb002d6f4ac3d42b2f27fcc7,['JP-C05'],['TARGET']
CTR-JP-0013,JP,T1,DIRECT_LICENSE,『最後の舞台』 映像コンテンツ利用許諾契約書,documents/canonical/JP/T1/CTR-JP-0013.md,731367ebbec128276a4f1b939aaf5d283c5089cb83465f4c450013b0c269e041,4,documents/pdf/JP/T1/DIRECT_LICENSE/CTR-JP-0013.pdf,90daf436210cf98e7755e634141e199a026f0d84e564e5a56e97300508f0b0ce,['JP-C06'],['TARGET']
CTR-JP-0014,JP,T1,DIRECT_LICENSE,『最後の軌道』 映像コンテンツ利用許諾契約書,documents/canonical/JP/T1/CTR-JP-0014.md,751b7d4a1731a241794a53464f1bccd34e2d90c5b447b52479ac45129b99cb62,4,documents/pdf/JP/T1/DIRECT_LICENSE/CTR-JP-0014.pdf,fef3138d3877c37cdde8f83fcc8744882f2a0692c84a4963f12e68b62b09ad86,['JP-C03'],['TARGET']
CTR-JP-0015,JP,T5,DIRECT_LICENSE,『青い港』 コンテンツ配信基本契約書,documents/canonical/JP/T5/CTR-JP-0015.md,3329f657b859cf218df0b06f2695cbd7e0fe425e0c268496e7563eabe34619b2,10,documents/pdf/JP/T5/DIRECT_LICENSE/CTR-JP-0015.pdf,d6a74cdc122ffee7d6babb2f82c1d887e49e3678525fda5507eb740eae75e98b,['JP-C07'],['TARGET']
CTR-JP-0016,JP,T6,DIRECT_LICENSE,『冬のシグナル』 映像コンテンツ及びOST利用許諾契約書,documents/canonical/JP/T6/CTR-JP-0016.md,05827e5f458e120b52908fe9561cb30865c9a508dcfe1858548998e633c86675,8,documents/pdf/JP/T6/DIRECT_LICENSE/CTR-JP-0016.pdf,4e4a295f7fefc465107c0c60a1da8ddadc3f1b9ba4586b9c3861390b6bc054ac,['JP-C08'],['TARGET']
CTR-JP-0017,JP,T5,DIRECT_LICENSE,『最後の軌道』 コンテンツ配信基本契約書,documents/canonical/JP/T5/CTR-JP-0017.md,e53d1ec6258dc2390ddc75748541b930c2dea809933e36663a44323cb5d78696,10,documents/pdf/JP/T5/DIRECT_LICENSE/CTR-JP-0017.pdf,2e237d17d03e23d955957ebdb9406876ee4d73d95f3071dd3ddc73ff7a409966,['JP-C09'],['TARGET']
CTR-JP-0018,JP,T1,DIRECT_LICENSE,『静かな都市』 映像コンテンツ利用許諾契約書,documents/canonical/JP/T1/CTR-JP-0018.md,534900ff2e8b1faa99085fe7fff397b5db9f922ed9080857524edfbf75da44ba,3,documents/pdf/JP/T1/DIRECT_LICENSE/CTR-JP-0018.pdf,ccf33d07de927b8c11a83fa6624b531c912c1173c782c3fe200062fe39805267,['JP-R01'],['TARGET']
CTR-JP-0019,JP,T1,DIRECT_LICENSE,『最後の舞台』 映像コンテンツ利用許諾契約書,documents/canonical/JP/T1/CTR-JP-0019.md,53b99714765b894ed7022b1ab8da6b59a6b2acf26d7dc902c47a38481eaa0c80,4,documents/pdf/JP/T1/DIRECT_LICENSE/CTR-JP-0019.pdf,a8b567dd82f231048ebb3c4dc71ec6d6bc32a2e68e9ed6abe0cf73b2e1e2f7fd,['JP-R02'],['TARGET']
CTR-JP-0020,JP,T6,DIRECT_LICENSE,『星が留まった夏』 映像コンテンツ及びOST利用許諾契約書,documents/canonical/JP/T6/CTR-JP-0020.md,7c4d2ce97b5892be7e87fdb7d6932d24c22b8cd6e36cee2b2b5be23970a97bee,8,documents/pdf/JP/T6/DIRECT_LICENSE/CTR-JP-0020.pdf,99129fe809922be0199fd6f2f056764c7af80ce9d085b270cb4fcff9ccb79a5f,['JP-W01'],['TARGET']
CTR-JP-0021,JP,T1,DIRECT_LICENSE,『冬のシグナル』 映像コンテンツ利用許諾契約書,documents/canonical/JP/T1/CTR-JP-0021.md,de17a68a2b3c425efe81b7d7df7d88f5f9a186ecdb277fdbbbe5648d03fafee7,4,documents/pdf/JP/T1/DIRECT_LICENSE/CTR-JP-0021.pdf,1182cc2784496c04c6c313118f55bba5321a41661d8ef463df798ad4810743a2,['RB-JP01'],['TARGET']
CTR-JP-0022,JP,T1,DIRECT_LICENSE,『最後の舞台』 映像コンテンツ利用許諾契約書,documents/canonical/JP/T1/CTR-JP-0022.md,66f47004dd5fe5c0f18b84be6e0d79bb4c2363eaa7eb0a33277437395fd47e25,4,documents/pdf/JP/T1/DIRECT_LICENSE/CTR-JP-0022.pdf,43e139afb2e17a18d3878bcca3b5d29124b5b6bd02ff4d76948e224913dd3bd4,['RB-JP02'],['TARGET']
CTR-JP-0023,JP,T5,DIRECT_LICENSE,『最後の軌道』 コンテンツ配信基本契約書,documents/canonical/JP/T5/CTR-JP-0023.md,dec77ca0c2f20397122106820196a68f1d72f07ec478cd6c115a67356f83f116,7,documents/pdf/JP/T5/DIRECT_LICENSE/CTR-JP-0023.pdf,300829127ef38fe3e22688f9f798a45eeca07da192b4e3c5aeb05bd94ceb5673,['RB-JP03'],['TARGET']
CTR-JP-0024,JP,T6,DIRECT_LICENSE,『星が留まった夏』 映像コンテンツ及びOST利用許諾契約書,documents/canonical/JP/T6/CTR-JP-0024.md,89c41c5c646acc2f1afd4525c0b3eeadccbee2eb5c9056d36b94df0220fcb5e8,8,documents/pdf/JP/T6/DIRECT_LICENSE/CTR-JP-0024.pdf,975885d34d9659b776d29753a875d9a56d0b137aced8965419d603d6016f44e1,['RB-JP04'],['TARGET']
CTR-JP-9001,JP,T1,DIRECT_LICENSE,『月の手紙』 映像コンテンツ利用許諾契約書,documents/canonical/JP/T1/CTR-JP-9001.md,c3251a835b43cc7e8ca4b498ff3748bd5755b234ab0b44bd0d5e59534e0ab579,3,documents/pdf/JP/T1/DIRECT_LICENSE/CTR-JP-9001.pdf,fb33e165be14dde19784aad141a0528eeb906430defda1f20718723320d8f0b5,['JP-N05'],['UPSTREAM']
CTR-JP-9002,JP,T5,DIRECT_LICENSE,『青い港』 コンテンツ配信基本契約書,documents/canonical/JP/T5/CTR-JP-9002.md,1cd4860dfac83022026b6d69f0c1bb269b52913cd3337f71949124940867fa73,9,documents/pdf/JP/T5/DIRECT_LICENSE/CTR-JP-9002.pdf,532cf22ff8ce83c862ca11a829a491d4e6b95cb45e6e13f7f03ce8069e82155b,['JP-C07'],['EXISTING']
CTR-JP-9003,JP,T5,DIRECT_LICENSE,『最後の軌道』 コンテンツ配信基本契約書,documents/canonical/JP/T5/CTR-JP-9003.md,350fc10f7a1678cfff6188f95616ec87296d522fa37702bde85582b0ad2c75c8,7,documents/pdf/JP/T5/DIRECT_LICENSE/CTR-JP-9003.pdf,f31ede71dcd73bcbcc04eb92ef26b05bfe797fb069bda1ca596241af006a6db9,"['JP-C09', 'RB-KO04', 'RB-JP03']",['EXISTING']
CTR-JP-9004,JP,T1,DIRECT_LICENSE,『最後の舞台』 映像コンテンツ利用許諾契約書,documents/canonical/JP/T1/CTR-JP-9004.md,df46b69d77ae725e1901921871320f3722d2f3e8c664fccf5f9bb1298c3f5734,3,documents/pdf/JP/T1/DIRECT_LICENSE/CTR-JP-9004.pdf,9e5b4d9e4386ea2150ce42cd531df934b09c823d633dfc01897192670c9b0230,['JP-R02'],['EXISTING']
CTR-KO-0001,KO,T1,DIRECT_LICENSE,『겨울의 신호』 저작재산권 이용허락 계약서,documents/canonical/KO/T1/CTR-KO-0001.md,88e49aeeb482b82639179c271c18e12f11e158ebda2dfc695f2588607000713c,3,documents/pdf/KO/T1/DIRECT_LICENSE/CTR-KO-0001.pdf,9b3cb0b91893a6598a836f45c943c7db1ad7de6e8331efbb4dcc068fc3288cbf,"['KO-N01', 'KO-B01', 'KO-B02', 'KO-C01', 'KO-C04', 'JP-C02', 'KO-C06', 'JP-C05', 'KO-R01', 'RB-KO01', 'RB-JP01']","['EXISTING', 'TARGET']"
CTR-KO-0002,KO,T2,DIRECT_LICENSE,『푸른 항구』 방송프로그램 방영권·전송권 구매 계약서,documents/canonical/KO/T2/CTR-KO-0002.md,554940c239a489a282c2fb519922e6cd8f3a88ca6867b8432d6f09cfd67a52cc,4,documents/pdf/KO/T2/DIRECT_LICENSE/CTR-KO-0002.pdf,417fb16564040204fd684bb3e413c7ae491c9cebab823a42dcb294bf0926606b,['KO-N02'],['TARGET']
CTR-KO-0003,KO,T1,DIRECT_LICENSE,『마지막 궤도』 저작재산권 이용허락 계약서,documents/canonical/KO/T1/CTR-KO-0003.md,5f64cf7ea39d433f1b7c8b55f145dd163cdd79be8a07bb1539110809f7136d5a,3,documents/pdf/KO/T1/DIRECT_LICENSE/CTR-KO-0003.pdf,5179fecf0286da39b9b75f3797340d1b5849899b11bc0d4586514cfc4ed93cab,"['KO-N03', 'KO-C02', 'KO-C05', 'EN-C05']","['EXISTING', 'TARGET']"
CTR-KO-0004,KO,T1,DIRECT_LICENSE,『달의 편지』 저작재산권 이용허락 계약서,documents/canonical/KO/T1/CTR-KO-0004.md,407de1256e63920224560cb49833d1e4ad257b07d88270e44d01a7c7d1579db4,3,documents/pdf/KO/T1/DIRECT_LICENSE/CTR-KO-0004.pdf,6793dec7dc452200132a30c22e10d488c98dc77440ff665aad4da117cb940ea5,"['KO-N04', 'JP-B03']","['EXISTING', 'TARGET']"
